Date, Headline
2018-03-09,Goldman’s Blankfein says reading report of his imminent retirement was like Huckleberry Finn listening to his own eulogy
2018-03-09,Dow closes above 25;000 while Nasdaq finishes at a record as stocks rally
2018-03-09,Treasury yields climb after strong jobs growth keeps Fed on track
2018-03-09,Stocks end sharply higher after jobs report; Nasdaq closes at record
2018-03-09,Dow ends 1.8% higher
2018-03-09,S&P 500 finishes up 1.7%
2018-03-09,Nasdaq Composite ends 1.8% higher
2018-03-09,Nasdaq books first record close since Jan. 26
2018-03-09,Dow; S&P 500 log best daily gain in about a month after jobs report
2018-03-09,All three benchmarks record best weekly gains in 3 weeks stock pullback
2018-03-08,Stock market ends higher as Trump signs tariffs; but spares Canada; Mexico
2018-03-08,The best sector of this bull market is the ‘greatest investment story ever told’
2018-03-08,Stock market ends higher as Trump signs metals tariffs
2018-03-08,Elon Musk to Trump on tariffs: an ‘Olympic race wearing lead shoes’
2018-03-08,CORRECT: U.S. stocks close higher as tariff plan exempts Mexico; Canada
2018-03-08,Nasdaq Composite ends higher for fifth straight session
2018-03-08,Metals and mining ETF tumbles after Trump details tariffs policy
2018-03-08,Nasdaq adds 23 points; or 0.3%; to 7;420
2018-03-08,Dow industrials climb 27 points; or 0.1%; to 24;829
2018-03-08,S&P 500 up 7 points; or 0.3%; to 2;734
2018-03-07,S&P 500; Dow close lower on Cohn resignation; Nasdaq extends win streak
2018-03-07,Dow ends slightly lower; trims decline as White House hints at tariff exemptions
2018-03-07,Here’s how the stock market reacted to Cohn’s resignation from the Trump White House
2018-03-07,Dow finishes down by about 80 points but had been off by nearly 350 points at Wednesday's lows
2018-03-07,Nasdaq closes up 0.3%; S&P 500 ends off less than 0.1%
2018-03-07,Dow closes in the red; but stocks end off session lows as Wall Street weighs trade policies
2018-03-07,Nasdaq; Russell 2000 mark 4th straight gain; shaking off worries about tariffs
2018-03-07,Nasdaq up 26 points; or 0.4%; to 7;398
2018-03-07,Dow industrials pares losses to trade down 0.3% to 24;825
2018-03-07,S&P 500 recovers to push into positive territory 10 minutes before the close
2018-03-06,E-mini Dow futures fall 268 points; or 1.1%
2018-03-06,E-mini S&P 500 futures down 1.1%
2018-03-06,Stock index futures sharply lower after Cohn resignation
2018-03-06,Gary Cohn is resigning from the White House; according to New York Times
2018-03-06,Trump Today: President says he likes conflict as he defends his proposed tariffs
2018-03-06,U.S. stocks close modestly higher as trade-war jitters linger
2018-03-06,Stocks end slightly higher as trade uncertainty persists
2018-03-06,Dow finishes little changed in positive territory
2018-03-06,S&P 500 ends 0.3% higher
2018-03-06,Nasdaq Composite finishes 0.6% up like Walmart’s in 2017
2018-03-05,Dow snaps 4-session slide; as stock market books sharp gains
2018-03-05,Wall Street's 'fear index' falls; retreats by half over the past month
2018-03-05,Nasdaq adds 1.1% to 7;337
2018-03-05,Dow industrials gain 1.5% to 24;897; S&P 500 up 1.2% to 2;722
2018-03-05,All major stock indexes higher ahead of closing bell
2018-03-05,Trump steel tariffs to hit these 8 countries the hardest — and China isn’t one of them
2018-03-05,Dow industrials see stiffest headwind from Boeing's stock in early trade
2018-03-05,Tariffs raise the odds of U.S. terminating Nafta: Goldman Sachs
2018-03-05,10 popular stocks that would be hit hard if Trump started a trade war
2018-03-05,Nasdaq falls 0.5% at 7;223
2018-03-04,Treasury yields climb as haven-related buying unravels
2018-03-04,Dow snaps four-session losing streak in broad-based market rally
2018-03-04,Dow jumps almost 340 points as Wall Street shakes off tariff tantrum
2018-03-04,Dow halts multisession skid to finish up about 340 points
2018-03-04,Dow ends up 1.4%; S&P 500 closes up 1.1%
2018-03-04,Nasdaq ends 1% higher
2018-03-04,Stock market books sharp gains as Wall Street's tariff fears subside
2018-03-04,Do you know your movie Oscars from your Sesame Street Oscar? Let’s find out
2018-03-04,Nutanix powers on in software transition
2018-03-04,Retail defaults may increase in 2018 as companies are still stressed; S&P cautions
2018-03-03,All 11 primary S&P 500 sectors trade higher as rebound gains steam
2018-03-03,Italy ETF down for 5th straight day after election
2018-03-03,GE's stock surges to pace Dow gainers
2018-03-03,Dow's turnaround powered by bounce in McDonald's; Caterpillar's stock
2018-03-03,Italy ETF tumbles after election; set for 5th straight down day
2018-03-03,S&P 500 holds last-ditch support; Nasdaq rallies from key trendline
2018-03-03,Dow joins S&P 500 and Nasdaq in positive territory
2018-03-03,S&P 500; Nasdaq turn positive as stock market pares loss in early trade
2018-03-03,Businesses still growing rapidly; but face labor shortages; higher prices; ISM shows
2018-03-03,These 9 experts warn that another stock-market correction is coming
2018-03-02,Here’s why the Dow took the Trump tariffs so hard
2018-03-02,Trade is the first real test of the Trump rally
2018-03-02,Dow falls for 4th day on trade fears; major indexes post big weekly drops
2018-03-02,McDonald's stock books worst 1-day dollar drop in its history and worst percentage fall since 2008
2018-03-02,S&P 500; Nasdaq erase skid to end higher but McDonald's stock leads Dow to a loss
2018-03-02,Stocks post weekly losses as inflation; trade fears weigh
2018-03-02,Dow finishes down 0.3%
2018-03-02,S&P 500 closes up 0.5%
2018-03-02,Nasdaq Composite finishes 1.1% higher
2018-03-02,S&P 500; Nasdaq rebound to close higher; Dow ends lower
2018-03-01,This Trump vs. JFK chart has nailed it so far; and if it continues; the market is in trouble
2018-03-01,Dow ends 420 points lower as Trump calls for U.S. import tariffs on steel; aluminum
2018-03-01,Treasury yields drop as Trump announces steel; aluminum tariffs
2018-03-01,Dollar reverses as trade tariffs scare financial markets
2018-03-01,Dow skids 420 points as Trump says U.S. will institute steel; aluminum tariffs indefinitely
2018-03-01,S&P 500; Nasdaq Composite close 1.3% lower
2018-03-01,Dow industrials fall 1.7%
2018-03-01,U.S. stocks close 1% lower we tariff announcement raises protectionism concerns
2018-03-01,U.S. stocks end sharply lower for third straight session
2018-03-01,Dow drops more than 400 points
2018-02-28,How to sleep like a boss
2018-02-28,Energy ETF tumbles; has worst monthly drop since December 2015
2018-02-28,U.S. stocks finish lower; Dow; S&P 500 log worst monthly drop in two years
2018-02-28,Treasury yields pull back after bond investors rush to finish month-end trades
2018-02-28,Dow falls nearly 400 points as the stock market stumbles at close of a bruising February
2018-02-28,U.S. stocks close sharply lower; Dow; S&P 500 have worst month in two years
2018-02-28,U.S. stocks close out February with sharp decline
2018-02-28,Dow finishes down nearly 400 points; S&P 500 closes off 1.1%
2018-02-28,Nasdaq Composite ends off 0.8%
2018-02-28,Nasdaq drops 7 points; or 0.1%; to 7;323 
